Описание;Решение  ;Тех. Решение 
"Постоянно появляется ошибка в Медиалог.
Скрин ошибки(Снимок 1) появляется при переходе в новую ЭМК.
Скрин ошибки(Снимок 2) появляется после каждой нажатой клавиши при печатании.";"Добрый день, Анна Викторовна.
Закрываю обращение, в продолжении телефонного разговора.
Исправлено.";"08.06 создала наряд на техподдержку относительно ошибки 

<Картинка>

10.06 решения по наряду на техподдерку пока нет 
11.06 получила решение по наряду на техподдерку , запросила обратную связь у пользователя после переустановки системы и Медиалог коллекция, жду обратную связь после проверки
29.06 Ошибка не ушла в описании ошибок по ТФОМС решения не описано , создала наряд на ПА.

<Картинка>

уточнила у коллег в группе - информации нет по данной ошибке , 10:32 созвонилась , со слов инициатора (сейчас в отпуске) ошибка была устранена, кто то из коллег созванивался уже ранее . Закрываю обращение."
"Постоянно появляется ошибка в Медиалог.
Скрин ошибки(Снимок 1) появляется при переходе в новую ЭМК.
Скрин ошибки(Снимок 2) появляется после каждой нажатой клавиши при печатании.";"Добрый день, Анна Викторовна.
Закрываю обращение, в продолжении телефонного разговора.
Исправлено.";"W07-0471-0003 - предположительно компьютер заявителя
На площадке Игора отсутствует доступ в Интернет (из местного провайдера) - ожидаем решения в рамках обр.171042.
Связь восстановилась.
Старая сборка Widows (1909) - требуется обновление.
Выполнено удаление Медиалога (старый и новый).
Установлен Медиалог Коллекции.
Запущен процесс обновления сборки ОС.
Обновление ОС завершено.
Отключён режим гибернации (был включён).
Удалено ""лишнее"" встроенное ПО, ""почищены"" старые профили пользователей, внесены регламентные изменения в системные настройки ОС.
Не проходит активация ОС - сделал наряд 165029 для проверки сетевой связанности.
Проблема с активацией устранена - система активирована.

<Картинка>"
Прошу помочь удалить запись осмотра пациента № карты 1207520 от 08.06.26 врача Фаттаховой МГ ,так как появляется ошибка при удалении;"Мадинэ Гайсовна, закрываю обращение, в продолжении телефонного разговора.
Выставила в учетке временно доступ ко всем макетам на вкладке Документы.
При подключении удалили письмо из папки Прочие , галочку доступ ко всем макетам сняла .
Провела консультацию повторно как сохранять документ\письмо в правильную папку.
При печати для архива (цифра 1 на скрине), нажать на кнопку Дискета (цифра 2)  в открывшемся окне выбрать Рубрику Терапия (цифра 3), если уже еще не выбрана и далее нажать на ОК (цифра 4). Если выдается окно с сообщением на английском о электронном ключе , просто закрыть его по крестику и сохранить документ (на скрине цифра 5)
<Картинка>";"08.06 подробное решение описано в наряде 0000117104

Выставила в учетке временно доступ ко всем макетам .
При подключении удалили письмо из папки Прочие , галочку доступ ко всем макетам сняла .
  
Провела консультацию повторно как сохранять документ\письмо в правильную папку.
При печати для архива (цифра 1 на скрине), нажать на кнопку Дискета (цифра 2)  в открывшемся окне выбрать Рубрику Терапия (цифра 3), если уже еще не выбрана и далее нажать на ОК (цифра 4). Если выдается окно с сообщением на английском о электронном ключе , просто закрыть его по крестику и сохранить документ (на скрине цифра 5)

<Картинка>"
"Добрый день! Вернулась проблема с заблокированными партиями, заявка была отработана выдачей прав на разблокировку партий. Прошлая заявка 167257.

<Картинка>";"Добрый день.
В продолжении телефонного разговора, дублирую :
Не корректная работа м/с
Все 4 заблокированы по причине указания в акте списания  отделения/склада, данные поля заполняются только для оперблока, в связи с этим партия падает в блокировку.

Шаги по устранению ошибки 

Пример:
снять блокировки с партий товаров 
партия 1100165312, Товар 04.1918.001 S-Monovette 2.7 мл, для определения глюкозы, с этикеткой
партия 1100165305, товар2 04.1902.100 S-Monovette 2,9 мл, цитрат, с этикеткой
снять подтверждение в акте списания 1100364740 от 20.05.26: очистить поля ""подразделение на которое списывается"" и ""Склад подразделения,  на которое спписывается"",  подтвердить документ. (снять подтверждение в акте списания 1100364740 от 20.05.26: очистить поля подразделение/склад на которое списывается, подтвердить документ."" - сможет сделать только старшая медсестра, создавшая акт списания)";"Партия вновь заблокировалась так как по предоставленому решению наряда 0000161854 не был выполнен п.1.2
<Картинка>

<Картинка>
 
<Картинка>

Шаги по устранению ошибки те же:
снять блокировки с партий товаров (выдав права инициатору, настройка прав в решении наряда 0000163356, или самостоятельно с согласования руководителя):
партия 1100165312, Товар 04.1918.001 S-Monovette 2.7 мл, для определения глюкозы, с этикеткой
партия 1100165305, товар2 04.1902.100 S-Monovette 2,9 мл, цитрат, с этикеткой
снять подтверждение в акте списания 1100364740 от 20.05.26: очистить поля ""подразделение на которое списывается"" и ""Склад подразделения,  на которое спписывается"",  подтвердить документ. (снять подтверждение в акте списания 1100364740 от 20.05.26: очистить поля подразделение/склад на которое списывается, подтвердить документ."" - сможет сделать только старшая медсестра, создавшая акт списания (при условии наличия у нее прав на изменение документов за прошедший период)"
"Добрый день! Вернулась проблема с заблокированными партиями, заявка была отработана выдачей прав на разблокировку партий. Прошлая заявка 167257.

<Картинка>";"Добрый день.
В продолжении телефонного разговора, дублирую :
Не корректная работа м/с
Все 4 заблокированы по причине указания в акте списания  отделения/склада, данные поля заполняются только для оперблока, в связи с этим партия падает в блокировку.

Шаги по устранению ошибки 

Пример:
снять блокировки с партий товаров 
партия 1100165312, Товар 04.1918.001 S-Monovette 2.7 мл, для определения глюкозы, с этикеткой
партия 1100165305, товар2 04.1902.100 S-Monovette 2,9 мл, цитрат, с этикеткой
снять подтверждение в акте списания 1100364740 от 20.05.26: очистить поля ""подразделение на которое списывается"" и ""Склад подразделения,  на которое спписывается"",  подтвердить документ. (снять подтверждение в акте списания 1100364740 от 20.05.26: очистить поля подразделение/склад на которое списывается, подтвердить документ."" - сможет сделать только старшая медсестра, создавшая акт списания)";"24.06.
Филиппова:
Закрыто по согласованию с инициатором, не корректная работа м/с
Поля подразделения /склад заполняются только для оперблока

Все 4 заблокированы по причине указания в акте списания 1100380603 от 17.06.2026 отделения/склада ""Клинико-диагностическая лаб. склад коммерция"": необходимо снять подтверждение с акту, очистить поля ""Подразделение/склад на котрое списывается"" и заново подтвердить документ, затем нсять блокировки с партий

_________________________________________________________________

08/06 проверила есть всего один акт списания . не ясно по какой причине произошла повторная блокировка 

создала наряд на ПА для анализа
Получено решение. Созвонилась объяснила , что пока не решать вопрос с актом списания через бухгалтерию и старшую медсестру , права не забираю .
После выполнения действий в некорректно оформленном акте , жду обратную связь ждя того чтобы забрать права. 

Сейчас в учетке права как были + как у Горшковой (подробно в обращении 167257  что и как вернуть описано  в нем же) 

<Картинка>

11.06 обратная связь о выполнении работ со стороны бухгалтера и ст.медсестры не поступала. Жду обратную связь, что все рекомендованные действия старшей медсестрой в акте списания выполнены."
"Добрый день!

Прошу внести изменения в бланк результатов группы тестов: 12 Иммуногематология – группы крови в части сроков годности и названий расходных материалов:

Гелевые карты:
 DG Gel ABO/Rh    лот  2402801.1           срок годности  04.2026 ->  DiaClon ABO/D + Reverse Grouping лот 045722 61 48 срок годности 08.26
 DG Gel Rh Pheno+Kell лот 24009.01.1   срок годности до 10.01.2026 -> DiaClon Rh-Subgroups + K лот 038940 92 17 срок годности 08.26
 DG Gel Commbs   лот 24170.01.1           срок годности до 10.01.2026 -> *LISS/Coombs лот 046500 31 31 срок годности 02.27
Стандартные эритроциты:
 
Serigrup Diana A1                                    срок годности до 13.10.2025 -> ID-DiaCell ABO A1 срок годности до 13.01.2026
 
Serigrup Diana B1                                    срок годности до 13.10.2025 -> ID-DiaCell ABO B1 срок годности до 13.01.2026
 
 
 
 
 
 
<Картинка>
С уважением,
Колпаков Даниил Вадимович
Зав. клинико-диагностической лабораторией
Клинико-диагностическая лаборатория

Тел.: +7 (86141) 333-22 доб. 3673
Моб.: +7 (939) 464-87-80

ООО «РН-Современные технологии»
353465, г. Геленджик, пер. Больничный, 6

dkolpakov@groupmmc.ru
groupmmc.ru";"Добрый день,Даниил Вадимович.
Внесла указанные изменения в банки :
РН-СТ Анализ крови, группа крови и резус фактор Ф-089-РД-006
РН-СТ Анализ крови, группа крови и резус фактор Ф-089-РД-006 короткая";"08.06 изменения в макет Медиалога 
РН-СТ Анализ крови, группа крови и резус фактор Ф-089-РД-006
РН-СТ Анализ крови, группа крови и резус фактор Ф-089-РД-006 короткая

10.06 Внесла указанные изменения в банки ."
"Пропали права на создание перемещения между отделениями, просьба уточнить на основании чего забрали эти права и просьба их вернуть

Номер для связи: 7182, 950-030-73-84";"Добрый день, Али Вугарович.
Права были возвращены.
Подробно о выданных правах в обращении 0000167257.";"08.06 
Проверила между двумя входами не было выхода из медиалога

<Картинка>
10.06 проверила указанные права в роли и в той же роли через типового . Создала наряд на ПА для анализа причины, по которой права на перемещения перестали работать .

<Картинка>
 
<Картинка>
  
<Картинка>
 
<Картинка>

11.06 Решение полученное по наряду ПА -в целом понятно, но есть вопросы.
Создан наряд на ПА для консультации по выдаче\забору временно выданных прав пользователю в Медиалог коллекция."
"Пропали права на создание перемещения между отделениями, просьба уточнить на основании чего забрали эти права и просьба их вернуть

Номер для связи: 7182, 950-030-73-84";"Добрый день, Али Вугарович.
Права были возвращены.
Подробно о выданных правах в обращении 0000167257.";"В настройках роли ""Врач клинико-диагностической лаборатории (КДЛ)+прикреп к мп ВТ"" права на перемещение между подразделениями выданы как доп.права (в окне редактирования помечаются символом в виде небольшой синей стрелки в начале строки с названием права)
<Картинка>
При ""откате"" прав пользователя к исходным правам ""роли"" - слетают и доп.права выставленные на роль (все помеченные синей стрелочкой), а не только индивидульно пользователю.

Проверено на daily_cmp:
исходные права роли пользователя:
<Картинка>
нажимает ""скрепку"" - восстановить права поьователя по умолчанию (т.е. все права без стрелок)
<Картинка>
<Картинка>"
"Пропали права на создание перемещения между отделениями, просьба уточнить на основании чего забрали эти права и просьба их вернуть

Номер для связи: 7182, 950-030-73-84";"Добрый день, Али Вугарович.
Права были возвращены.
Подробно о выданных правах в обращении 0000167257.";"Подробное описание настройки ролей представлено в последней версии инструкции к МИС медиалог КМП (ранее информация была предоставлена в рамках наряда 0000104700,Обращение 0000097539 от 18.08.2025 11:48:05)
S:\02. Прикладное ПО\Сопровождение ПО\группа МИС Медиалог
Файл ""MEDIALOG_HELP_8108_15092025(V082025)"", там же файл с настройкой хелпника на рабочем месте - ""MEDIALOG_HELP_8108_15092025(V082025)_настройка.docx""
Файл необходимо открывать из каталога на локальном диске, а так же необходимо убедиться, что у файла снята блокировка.
<Картинка>"
"Добрый день.
 
При формировании консультации травматолога появляется следующая запись
 
 
<Картинка>
 
 
 
<Картинка>
С уважением,
Савицкий Дмитрий Святославович
Зав. ТО отделением - врач-травматолог-ортопед
Травматолого-ортопедическое отделение

Тел.: +7 (812) 406-88-88 доб. 3118
Моб.: +7 (981) 112-18-31

ООО «ММЦ»
191186, г. Санкт-Петербург, ул. Малая Конюшенная, д.8, лит.А

dsavitski@groupmmc.ru
spb.groupmmc.ru";"Добрый день, Дмитрий Святославович.
Было проверено на тестовой базе , ошибка не воспроизводиться.
Закрываю обращение, в продолжении телефонного разговора, на сегодня при формировании консультации травматолога ошибка не наблюдается .";"10.06  не удалось воспроизвести проблему на тестовой базе.
Сняла подтверждение с записи инициатора подтвердила при одном указанном основном диагнозе окно с указанным сообщением не появляется . Отправила письмо с решением инициатору , т.к. на сегодня рабочий день у него уже окончен .
11.06 обратная связь не получена 16:21 не дозвонилась отправила письмо
29.06 закрываю обращение, в продолжении телефонного разговора, на сегодня при формировании консультации травматолога ошибка не наблюдается ."
"Нет в списке модели эндоскопия
тел 2575";"Регина Разифовна,закрываю обращение, в продолжении телефонного разговора.
Вывели выборку по филиалу.
Добавила в вашу учетку в модели расписания - Эндоскопию .
<Картинка>
<Картинка>";"09.06 12:52 созвонилась с инициатором вывели выборку по филиалу.
Добавила в учетку в модели расписания Эндоскопию 
 
<Картинка>"
"Здравствуйте!
При формировании Выписного эпикриза у пациента с ЭМК: 15186330 - нет возможности выбрать справочник TNM ТФОМС. При игнорировании ошибки - выставляется не та сумма. Исправить через Итоги госпитализации - никак. Прошу оперативно помочь!
Снимки экрана прилагаю.";"Добрый день, закрываю по согласованию.
Стоимость исправлена.

Титова Лилия Фаргатьевна, 19.06.2026 10:23:12
Добрый день, Александр Николаевич, 
для диагноза С34.8 нет TNM, поэтому они не заполняются и не передаются в реестре. 
Поэтому кнопку ""ТНМ ТФОМС (при отсутствии окна)"" нажимать НЕ надо и формировать без нее.
Вижу что по данному обращению Вы уже закрыли случай: данные случая ОМС, в том числе стоимость лечения указаны верные?
Гречменюк Александр Николаевич, 22.06.2026 19:12:26
Здравствуйте, на текущий момент всё верно";"09.06 ранее был наряд ПА 0000158862
При нажатии на указанную кнопку , указывается не та стоимость .
проверила  записи ЭМК: 15186330 привязаны к событию госпитализации 
В обращение добавлен скрин относительно изменения диагноза, блокирующее окно.
Проверила это диагноз при поступлении .
<Картинка>
Проверила все созданные в рамках одного случая госпитализации записи привязаны корректно к событию . создала наряд на ПА для консультации .
11.06 решения по ПА нет."
"Здравствуйте!
При формировании Выписного эпикриза у пациента с ЭМК: 15186330 - нет возможности выбрать справочник TNM ТФОМС. При игнорировании ошибки - выставляется не та сумма. Исправить через Итоги госпитализации - никак. Прошу оперативно помочь!
Снимки экрана прилагаю.";"Добрый день, закрываю по согласованию.
Стоимость исправлена.

Титова Лилия Фаргатьевна, 19.06.2026 10:23:12
Добрый день, Александр Николаевич, 
для диагноза С34.8 нет TNM, поэтому они не заполняются и не передаются в реестре. 
Поэтому кнопку ""ТНМ ТФОМС (при отсутствии окна)"" нажимать НЕ надо и формировать без нее.
Вижу что по данному обращению Вы уже закрыли случай: данные случая ОМС, в том числе стоимость лечения указаны верные?
Гречменюк Александр Николаевич, 22.06.2026 19:12:26
Здравствуйте, на текущий момент всё верно";"Для диагноза С34.8 нет TNM, поэтому они не заполняются и не передаются в реестре. Поэтому кнопку ""ТНМ ТФОМС (при отсутствии окна)"" нажимать НЕ надо и формировать без нее.
В процессе анализа выявлена ошибка в хранимой процедуре, из-за чего неправильно рассчитывались   фракции (доп. классификационный критерий), по этой причине не правильно рассчитывался КСГ и, соответственно стоимость. Исправлено на рабочей базе (согласно описанию, полученному от ПМТ в рамках заявки 2728). 
Необходим перезапуск МИС.

========================
22.06.2026:
1. нет ОС от инициатора (написала ему в ""общении"").
2. 14:05: разработчик выполнил изменения на РБ: изменения в хранимую процедуру STAT_TRANSF_GROUP согласно приложенному описанию от ПМТ (файл ""Тех. описание PMTSUP-2509 ММЦ ВТ. Некорректный расчет фракций (ДКК)""), полученному в рамках заявки 2728 (elma)
3. наряд закрываю, случай ОМС в карте рассчитан ранее.

19.06.2026:
1. От ПМТ: 
1.1 Для диагноза С34.8 нет TNM,      поэтому они не заполняются и не передаются в реестре. Поэтому кнопку      ""ТНМ ТФОМС (при отсутствии окна)"" нажимать НЕ надо и формировать      без нее.
<Картинка>
 
1.2. В процессе анализа выявлена ошибка в хранимой процедуре, из-за чего неправильно рассчитывались   фракции      (доп. классификационный критерий). По этой причине не правильно      рассчитывался КСГ и, соответственно стоимость.
Прикладываем тех. описание доработки для исправления этой ошибки. (см.вложение)
2. наряд 0000166707 ""Ошибки или сбой"" на внесение изменений в хранимую процедуру STAT_TRANSF_GROUP
3. изменения применены на daily_cmp, тестирование
4. на данный момент на РБ случай закрыт с корректными расчетами (Нет, на рабочей базе ничего не исправляли, ждем вашего согласования. А в карте, очевидно, врачи изменили вручную - в Итогах госпитализации указали фракции (ДКК) и пересчитали КСГ. ) отправлен запрос в ""общении"" инициатору
<Картинка>
------------------------------------------
18.06.2026: от ПМТ Ответа по задаче, к сожалению, еще не поступало. Ваш комментарий мы передали в задачу, просим ожидать
15.06.2026: запрос текущего статуса у ПМТ
10.06.2026: Заявка в ПМТ 2728
=====================
TNM_TFOMS_SELECT

{@Онкология - локализации тек диагн тфомс}

not isnull({Диагноз}) and {Диагноз} = {=Диагнозы (ЭМК).DATA22_ID}

CNTRL_CIM10_ONKO

/*Кнопка нужна, чтобы сохранить данные в таблицу Диагнозы, в этом случае сфомрируется значение DATA22_ID, и к нему можно привязывать локализации*/
/*Шмелев. Только для онкологических диагнозов*/
IF(QUERY('{CNTRL_CIM10_ONKO}','RES', {Диагнозы.Код})=1
/*Бабков и не создана запись в таблице локализаций TNM*/
and not EXISTS({@Онкология - локализации тек диагн тфомс}, 'DATA22_ID', {=Диагнозы (ЭМК).DATA22_ID}) and
 (({История заболевания - видимость полей, разделов, форм.Редактировать диагноз}=1) or
({Диагнозы.DATA22_ID}=0)
and {История заболевания - видимость полей, разделов, форм.Показать диагноз}), 1,
/*Бабков или запись создана но поменяли диагноз*/
IF(
EXISTS({@Онкология - локализации тек диагн тфомс}, 'DATA22_ID', {=Диагнозы (ЭМК).DATA22_ID})and QUERY('{CNTRL_CIM10_ONKO}','RES', {Диагнозы.Код})=1 and UPDATE( {Диагнозы.МКБ 10} ) and {История заболевания - видимость полей, разделов, форм.Редактировать диагноз}
, 1, 0))"
"Здравствуйте!
При формировании Выписного эпикриза у пациента с ЭМК: 15186330 - нет возможности выбрать справочник TNM ТФОМС. При игнорировании ошибки - выставляется не та сумма. Исправить через Итоги госпитализации - никак. Прошу оперативно помочь!
Снимки экрана прилагаю.";"Добрый день, закрываю по согласованию.
Стоимость исправлена.

Титова Лилия Фаргатьевна, 19.06.2026 10:23:12
Добрый день, Александр Николаевич, 
для диагноза С34.8 нет TNM, поэтому они не заполняются и не передаются в реестре. 
Поэтому кнопку ""ТНМ ТФОМС (при отсутствии окна)"" нажимать НЕ надо и формировать без нее.
Вижу что по данному обращению Вы уже закрыли случай: данные случая ОМС, в том числе стоимость лечения указаны верные?
Гречменюк Александр Николаевич, 22.06.2026 19:12:26
Здравствуйте, на текущий момент всё верно";"В процедуре STAT_TRANSF_GROUP изменена строка с
when onk.FRACTION_NUMBER between 8 and 0 then 'fr08-10' 
на
when onk.FRACTION_NUMBER between 8 and 10 then 'fr08-10'"
"<Картинка>
 
 
 
 
С уважением,
Киселева Ольга Сергеевна
Бухгалтер по учету ТМЦ
Группа учета имущества

Тел.: +7 (812) 620-20-20 доб. 7439
Моб.: +7 (911) 188-96-26

ООО «ММЦ ВТ»
188640, Ленинградская область, м.р-н Всеволожский,                     
с.п. Юкковское, тер. «Клиника «Белоостров», зд. 1

<Картинка>
oskiseleva@groupmmc.ru
beloostrov.groupmmc.ru";Ольга Сергеевна, закрываю обращение, в продолжении телефонного разговора.;"09.06 в описание нет , что именно делает и что не получается .
Есть корректное сообщение о заблокированных партиях .
проверяю с чем может быть связано 
11.06 это партии которые были в обращении 0000167257 . Права на разблокировку обр.0000170678 были выданы Аллахвердиеву А.В. в решение было описано и телефонном разговоре ему были даны разъяснения. 
проверила обе партии разблокированы 

<Картинка>
 
<Картинка>

9:39 созвонились , объяснила следующее : 
Да указанные партии были заблокированы в связи с неверным оформлением акта списание старшей медсестрой .
Так же были согласованы и выданы права на разблокировку сотруднику КДЛ по обращению на доступ к разблокировки.
Сейчас обе указанные партии разблокированы им . 
Как проверит даст обратную связь получилось или есть вопросы. 
14:00 звонок от инициатора , инвентаризация оформлена. закрываю обращение, в продолжении телефонного разговора."
"Прошу уточнить какой из планов лечения является верным и лишний перенести в архив:
<Картинка>";"Добрый день, Лидия Аркадьевна.
Дубль был создан во время внутреннего обучения , заархивировала план лечения 09.01.00.00.0107 Флебэктомия - пакет 1 (ЭВЛО).
Приношу свои извинения за созданную ситуацию с дублем.";"09.06

<Картинка>

10.06 обращение 0000134766 по которому был создан план 09.01.00.00.0107 XXX* //Флебэктомия - пакет 1 (ЭВЛО)
Дубль был создан при внутреннем обучении наряд 0000153902, заархивировала 09.01.00.00.0107 Флебэктомия - пакет 1 (ЭВЛО)"
"<Картинка>
 
 
 
С уважением,
Киселева Ольга Сергеевна
Бухгалтер по учету ТМЦ
Группа учета имущества

Тел.: +7 (812) 620-20-20 доб. 7439
Моб.: +7 (911) 188-96-26

ООО «ММЦ ВТ»
188640, Ленинградская область, м.р-н Всеволожский,                     
с.п. Юкковское, тер. «Клиника «Белоостров», зд. 1

<Картинка>
oskiseleva@groupmmc.ru
beloostrov.groupmmc.ru";Ольга Сергеевна, закрываю обращение, в продолжении телефонного разговора.;"11.06 9:39 созвонилась провела консультацию , после проверки  даст обратную связь , подробно в обр 0000171191
Права на разблокировку обр.0000170678 
Ольга Сергеевна, закрываю обращение, в продолжении телефонного разговора."
"Уважаемые коллеги!
Вчера, создавая данное общение, я параллельно обратилась по телефону с комментарием, что данная проблема является приоритетной.
Это связано с тем, что при проведении инвентаризации в МИС «Медиалог» отделение приостанавливает свою работу до завершения процесса инвентаризации и ее подтверждения.
Поскольку программа не давала сделать подтверждение, было создано данное обращение.
Так же, 09.06.2026 в 16:14 было повторно продублировано обращение по возникшей проблеме и параллельно по телефону была озвучена просьба уведомить о ходе работ, так как в инвентаризируемом отделении производилось списание препаратов, требующее фиксации в журнале «день в день».
В итоге отклика мною не было получено.
Прошу сообщить о ходе работ, сроках и дать обратную связь по данному обращению в ближайшее время.
Напоминаю, что инвентаризация в отделении на данный момент не состоялась.
<Картинка>
 
 
 
С уважением,
Киселева Ольга Сергеевна
Бухгалтер по учету ТМЦ
Группа учета имущества

Тел.: +7 (812) 620-20-20 доб. 7439
Моб.: +7 (911) 188-96-26

ООО «ММЦ ВТ»
188640, Ленинградская область, м.р-н Всеволожский,                     
с.п. Юкковское, тер. «Клиника «Белоостров», зд. 1

<Картинка>
oskiseleva@groupmmc.ru
beloostrov.groupmmc.ru";Ольга Сергеевна, закрываю обращение, в продолжении телефонного разговора.;"11.06 9:39 созвонилась провела консультацию , после проверки  даст обратную связь , подробно в обр 0000171191
Права на разблокировку обр.0000170678 
Ольга Сергеевна, закрываю обращение, в продолжении телефонного разговора."
"Добрый день. Прошу в сетике расписания МИС Медиалога, врачу Тюнину Антону Андреевичу, добавить врач терапевт- кардиолог. Заранее благодарю. 
<Картинка>";"Добрый день,Елена Николаевна.
Не дозвонилась до вас сегодня.
Обращение было согласовано 29.06.26.
Закрываю обращение, изменение в указанное расписание уже внесены.
<Картинка>";"10.06 не согласовано . Нужно отправить на согласование согласно матрице для согласования:
https://wiki.groupmmc.ru/pages/viewpage.action?pageId=104500674
Запросила у руководителя отдела инструкцию как обращение отправлять на согласование 
11.06 на 12:40 согласования нет, проверила в 16:26 согласования нет 
29.06  согласования нет, созвонилась с согласующим в 10:47 . Не у ПК, как будет у ПК посмотрит .
после согласования , проверила в расписании уже добавлено врач-кардиолог.
16:04 не дозвонилась .
Закрываю обращение, изменение в указанное расписание уже внесены.
<Картинка>"
"Добрый день, прошу, пожалуйста, предоставить возможность подтвердить свои записки (карта внутреннего контроля качества) следующим пациентам:
 1. Соломатина Н.Н. ЭМК 15215627 (6 мая)
2. Советников А.А. ЭМК 5046 (2 апреля)";"Добрый день, Дмитрий Львович.
Забрала выданные права , после вашего подтверждения о выполнении необходимых действий в ЭМК.";"10.06 выдано 74 дня на создание\изменение записи в ЭМК 
11.06 11:39 обещал к 15.00 отписаться по выполнению, чтоб закрыть обращение
После подтверждения права вернула 30 дней.
<Картинка>"
"Прошу создать новый тип записи- Извещение 090/у.
тел. 8-953-355-26-05
W15-0470-0039";"Добрый день, Дарья Михайловна.

Доступ к указанному типу записи предоставлен . Медиалог необходимо перезагрузить.";"Доступ к указанному типу записи предоставлен 

<Картинка>
 
<Картинка>"
"Не сохраняются данные представителей пациентов

Номер для связи: 3247
Имя компьютера: w08-0800-0394

<Картинка>";"Эльмира Бозигитовна,
закрываю обращение, в продолжении телефонного разговора.
На сегодня сообщение об ошибке не выдается.";"закрываю обращение, в продолжении телефонного разговора.
На сегодня сообщение об ошибке не выдается."
"Прошу завершить ПМО пациентке Петровой В.И..19.07.1957 г.р., за 24.05.2024.
№ЭМК 408140";"Добрый день,  Александра Витальевна.
Права предоставлены в учетке завотделения до 02.07.26 включительно. 
Медиалог необходимо перезагрузить.

30.06.26 закрываю обращение, в продолжении телефонного разговора, в продолжении телефонного разговора.
После выполнения права закрыла.";"закрываю обращение, в продолжении телефонного разговора
, в продолжении телефонного разговора.
После выполнения права закрыла."
"Прошу завершить ПМО пациентке Петровой В.И..19.07.1957 г.р., за 24.05.2024.
№ЭМК 408140";"Добрый день,  Александра Витальевна.
Права предоставлены в учетке завотделения до 02.07.26 включительно. 
Медиалог необходимо перезагрузить.

30.06.26 закрываю обращение, в продолжении телефонного разговора, в продолжении телефонного разговора.
После выполнения права закрыла.";Права предоставила . Было 600 на редактирование выставила 770 дней до 02.07.26 включительно .
